Week,Study Area,Task,Status
"📅 Week of April 03, 2026",Other / Focus,**Focus:** Building a Personal Portfolio Website (HTML/CSS),Note
"📅 Week of April 03, 2026",Math,Math: 1 practice session (5x/week),Pending
"📅 Week of April 03, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"📅 Week of April 03, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"📅 Week of April 03, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"📅 Week of April 03, 2026",STEM,**STEM:** **[Week 03 STEM Quiz](./grade-7/stem/quizzes/week-03_quiz.md)**,Pending
"📅 Week of April 03, 2026",Language Arts,"**Language Arts:** Weekly Video Review (save in `./grade-7/language-arts/video-reviews`, use template)",Pending
"📅 Week of April 03, 2026",Social Studies,**Friday (Submission):** Ensure all 3 pages work. Create a zip file of your project or commit it to GitHub. Take the **[End-of-Week Math Quiz](./grade-7/math/quizzes/2026-04-03_quiz.md)** and **[Social Studies Quiz](./grade-7/social-studies/quizzes/2026-04-03_quiz.md)**.,Pending
"📅 Week of April 03, 2026",Other Assignments / Focus,"**Monday (Input):** Read the **[Personal Portfolio](../../assignments/personal-portfolio/README.md)** instructions. Set up your folder structure (`index.html`, `style.css`).",Pending
"📅 Week of April 03, 2026",Other Assignments / Focus,"**Tuesday (Action):** Build your Homepage (`index.html`). Add headings, paragraphs, and a navigation bar.",Pending
"📅 Week of April 03, 2026",Other Assignments / Focus,**Wednesday (Action):** Build your `projects.html` page and link your Car Collection and Budget Tracker.,Pending
"📅 Week of April 03, 2026",Other Assignments / Focus,**Thursday (Review):** Link your `style.css` file and add custom colors and fonts to your site. Test all links!,Pending
"April 10, 2026",Math,Math: 1 practice session (5x/week),Pending
"April 10, 2026",Math,**Math:** Complete your **[Weekly Math Quiz](./grade-7/math/quizzes/2026-04-10_quiz.md)**,Pending
"April 10, 2026",Math,**Math Prep:** Review the **[Quiz Hints](./grade-7/math/quizzes/2026-04-10_quiz_hints.md)** on rational numbers (negatives).,Pending
"April 10, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"April 10, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"April 10, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"April 10, 2026",STEM,**STEM:** **[Week 04 STEM Quiz](./grade-7/stem/quizzes/week-04_quiz.md)**,Pending
"April 10, 2026",STEM,**STEM:** Start the **[Responsive Navbar Challenge](../../assignments/responsive-navbar-challenge/README.md)** and test it at mobile and desktop sizes.,Pending
"April 10, 2026",Language Arts,"**Language Arts:** Draft a short blog post (6–8 sentences) for your portfolio homepage introducing who you are and what you’re building. Proofread once, then publish.",Pending
"April 10, 2026",Language Arts,"**Language Arts:** Weekly Video Review (save in `./grade-7/language-arts/video-reviews`, use template)",Pending
"April 10, 2026",Social Studies,**Social Studies:** Complete your **[Weekly Reading & Quiz](./grade-7/social-studies/quizzes/2026-04-10_quiz.md)**,Pending
"April 17, 2026",Math,Math: 1 practice session (5x/week),Pending
"April 17, 2026",Math,**Math:** Complete your **[Weekly Math Quiz](./grade-7/math/quizzes/2026-04-17_quiz.md)**,Pending
"April 17, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"April 17, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"April 17, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"April 17, 2026",STEM,**STEM:** **[Week 05 STEM Quiz](./grade-7/stem/quizzes/week-05_quiz.md)**,Pending
"April 17, 2026",STEM,"**STEM:** Finish and polish the navbar from last week (hover states, spacing, and colors). If ready, integrate it into your `my-portfolio` pages.",Pending
"April 17, 2026",Language Arts,**Language Arts:** Revise last week’s blog post based on Mom/Dad feedback. Add one image and a proper caption.,Pending
"April 17, 2026",Language Arts,"**Language Arts:** Weekly Video Review (save in `./grade-7/language-arts/video-reviews`, use template)",Pending
"April 17, 2026",Social Studies,**Social Studies:** Complete your **[Weekly Reading & Quiz](./grade-7/social-studies/quizzes/2026-04-17_quiz.md)**,Pending
"April 24, 2026",Math,Math: 1 practice session (5x/week),Pending
"April 24, 2026",Math,**Math:** Complete your **[Weekly Math Quiz](./grade-7/math/quizzes/2026-04-24_quiz.md)**,Pending
"April 24, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"April 24, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"April 24, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"April 24, 2026",STEM,**STEM:** **[Week 06 STEM Quiz](./grade-7/stem/quizzes/week-06_quiz.md)**,Pending
"April 24, 2026",Language Arts,**Language Arts:** Do **[Archetypes: The Scarlet Letter](../../assignments/language-arts/archetypes-the-scarlet-letter/README.md)** and submit a **Relevance Reflection** with 2–3 modern examples.,Pending
"April 24, 2026",Language Arts,"**Language Arts:** Weekly Video Review (save in `./grade-7/language-arts/video-reviews`, use template)",Pending
"April 24, 2026",Social Studies,**Social Studies:** Complete your **[Weekly Reading & Quiz](./grade-7/social-studies/quizzes/2026-04-24_quiz.md)**,Pending
"May 01, 2026",Math,Math: 1 practice session (5x/week),Pending
"May 01, 2026",Math,**Math:** Complete your **[Weekly Math Quiz](./grade-7/math/quizzes/2026-05-01_quiz.md)**,Pending
"May 01, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"May 01, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"May 01, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"May 01, 2026",STEM,**STEM:** **[Week 07 STEM Quiz](./grade-7/stem/quizzes/week-07_quiz.md)**,Pending
"May 01, 2026",Language Arts,**Language Arts:** **[Shakespeare Overview: Romeo & Juliet](../../assignments/language-arts/shakespeare-overview-romeo-and-juliet/README.md)** — make a 5‑bullet plot map and a Relevance Reflection.,Pending
"May 01, 2026",Language Arts,"**Language Arts:** Weekly Video Review (save in `./grade-7/language-arts/video-reviews`, use template)",Pending
"May 01, 2026",Social Studies,**Social Studies:** Complete your **[Weekly Reading & Quiz](./grade-7/social-studies/quizzes/2026-05-01_quiz.md)**,Pending
"May 08, 2026",Math,Math: 1 practice session (5x/week),Pending
"May 08, 2026",Math,**Math:** Complete your **[Weekly Math Quiz](./grade-7/math/quizzes/2026-05-08_quiz.md)**,Pending
"May 08, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"May 08, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"May 08, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"May 08, 2026",STEM,**STEM:** **[Week 08 STEM Quiz](./grade-7/stem/quizzes/week-08_quiz.md)**,Pending
"May 08, 2026",Language Arts,**Language Arts:** **[Poetry Focus: Langston Hughes & Maya Angelou](../../assignments/language-arts/harlem-renaissance-poetry/README.md)** — annotate 2 poems and complete one Relevance Reflection.,Pending
"May 08, 2026",Language Arts,"**Language Arts:** Weekly Video Review (save in `./grade-7/language-arts/video-reviews`, use template)",Pending
"May 08, 2026",Social Studies,**Social Studies:** Complete your **[Weekly Reading & Quiz](./grade-7/social-studies/quizzes/2026-05-08_quiz.md)**,Pending
"May 15, 2026",Math,Math: 1 practice session (5x/week),Pending
"May 15, 2026",Math,**Math:** Complete your **[Weekly Math Quiz](./grade-7/math/quizzes/2026-05-15_quiz.md)**,Pending
"May 15, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"May 15, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"May 15, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"May 15, 2026",STEM,**STEM:** **[Week 09 STEM Quiz](./grade-7/stem/quizzes/week-09_quiz.md)**,Pending
"May 15, 2026",Language Arts,**Language Arts:** **[Shakespeare Overview: Hamlet](../../assignments/language-arts/shakespeare-overview-hamlet/README.md)** — plot map + Relevance Reflection.,Pending
"May 15, 2026",Language Arts,"**Language Arts:** Weekly Video Review (save in `./grade-7/language-arts/video-reviews`, use template)",Pending
"May 15, 2026",Social Studies,**Social Studies:** Complete your **[Weekly Reading & Quiz](./grade-7/social-studies/quizzes/2026-05-15_quiz.md)**,Pending
"May 22, 2026",Math,Math: 1 practice session (5x/week),Pending
"May 22, 2026",Math,**Math:** Complete your **[Weekly Math Quiz](./grade-7/math/quizzes/2026-05-22_quiz.md)**,Pending
"May 22, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"May 22, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"May 22, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"May 22, 2026",STEM,**STEM:** **[Week 10 STEM Quiz](./grade-7/stem/quizzes/week-10_quiz.md)**,Pending
"May 22, 2026",Language Arts,"**Language Arts + Soc. Studies:** **[Archetypal Myths: Flood & Trinity](../../assignments/language-arts/archetypal-myths-flood-trinity/README.md)** — Venn diagram, symbol map, and one Relevance Reflection.",Pending
"May 22, 2026",Language Arts,"**Language Arts:** Weekly Video Review (save in `./grade-7/language-arts/video-reviews`, use template)",Pending
"May 22, 2026",Social Studies,**Social Studies:** Complete your **[Weekly Reading & Quiz](./grade-7/social-studies/quizzes/2026-05-22_quiz.md)**,Pending
"May 29, 2026",Math,Math: 1 practice session (5x/week),Pending
"May 29, 2026",Math,**Math:** Complete your **[Weekly Math Quiz](./grade-7/math/quizzes/2026-05-29_quiz.md)**,Pending
"May 29, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"May 29, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"May 29, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"May 29, 2026",STEM,**STEM:** **[Week 11 STEM Quiz](./grade-7/stem/quizzes/week-11_quiz.md)**,Pending
"May 29, 2026",Language Arts,**Language Arts:** Pick any book or summary tied to a **World Facts** era (resources/world_facts.md:1). Complete one Relevance Reflection connecting themes to that era.,Pending
"May 29, 2026",Language Arts,"**Language Arts:** Weekly Video Review (save in `./grade-7/language-arts/video-reviews`, use template)",Pending
"May 29, 2026",Social Studies,**Social Studies:** Complete your **[Weekly Reading & Quiz](./grade-7/social-studies/quizzes/2026-05-29_quiz.md)**,Pending
"June 05, 2026",Math,Math: 1 practice session (5x/week),Pending
"June 05, 2026",Math,**Math:** Complete your **[Weekly Math Quiz](./grade-7/math/quizzes/2026-06-05_quiz.md)**,Pending
"June 05, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"June 05, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"June 05, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"June 05, 2026",STEM,**STEM:** **[Week 12 STEM Quiz](./grade-7/stem/quizzes/week-12_quiz.md)**,Pending
"June 05, 2026",Language Arts,"**Language Arts:** Weekly Video Review (save in `./grade-7/language-arts/video-reviews`, use template)",Pending
"June 05, 2026",Social Studies,**Social Studies:** Complete your **[Weekly Reading & Quiz](./grade-7/social-studies/quizzes/2026-06-05_quiz.md)**,Pending
"June 05, 2026",Other Assignments / Focus,Other assignments to be determined...,Pending
"June 12, 2026",Math,Math: 1 practice session (5x/week),Pending
"June 12, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"June 12, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"June 12, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"June 12, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"June 19, 2026",Math,Math: 1 practice session (5x/week),Pending
"June 19, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"June 19, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"June 19, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"June 19, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"June 26, 2026",Math,Math: 1 practice session (5x/week),Pending
"June 26, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"June 26, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"June 26, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"June 26, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"July 03, 2026",Math,Math: 1 practice session (5x/week),Pending
"July 03, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"July 03, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"July 03, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"July 03, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"July 10, 2026",Math,Math: 1 practice session (5x/week),Pending
"July 10, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"July 10, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"July 10, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"July 10, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"July 17, 2026",Math,Math: 1 practice session (5x/week),Pending
"July 17, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"July 17, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"July 17, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"July 17, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"July 24, 2026",Math,Math: 1 practice session (5x/week),Pending
"July 24, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"July 24, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"July 24, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"July 24, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"July 31, 2026",Math,Math: 1 practice session (5x/week),Pending
"July 31, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"July 31, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"July 31, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"July 31, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"August 07, 2026",Math,Math: 1 practice session (5x/week),Pending
"August 07, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"August 07, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"August 07, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"August 07, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"August 14, 2026",Math,Math: 1 practice session (5x/week),Pending
"August 14, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"August 14, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"August 14, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"August 14, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"August 21, 2026",Math,Math: 1 practice session (5x/week),Pending
"August 21, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"August 21, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"August 21, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"August 21, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"August 28, 2026",Math,Math: 1 practice session (5x/week),Pending
"August 28, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"August 28, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"August 28, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"August 28, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"September 04, 2026",Math,Math: 1 practice session (5x/week),Pending
"September 04, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"September 04, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"September 04, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"September 04, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"September 11, 2026",Math,Math: 1 practice session (5x/week),Pending
"September 11, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"September 11, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"September 11, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"September 11, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"September 18, 2026",Math,Math: 1 practice session (5x/week),Pending
"September 18, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"September 18, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"September 18, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"September 18, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
"September 25, 2026",Math,Math: 1 practice session (5x/week),Pending
"September 25, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"September 25, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"September 25, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"September 25, 2026",Other Assignments / Focus,Assignments to be determined...,Pending
